24-12-2017 19:15:11, 113.26, 79.72, 67.80, 63.26, 63.26
24-12-2017 19:16:11, 112.89, 78.93, 68.41, 63.13, 63.13
24-12-2017 19:17:11, 110.20, 78.70, 67.66, 63.40, 63.40
24-12-2017 19:18:11, 110.06, 78.72, 67.77, 63.29, 63.29
24-12-2017 19:19:11, 109.68, 77.94, 67.70, 63.16, 63.16
24-12-2017 19:20:11, 108.50, 81.11, 67.75, 63.31, 63.31
24-12-2017 19:21:11, 107.58, 84.59, 67.54, 63.28, 63.28
24-12-2017 19:22:11, 106.20, 85.46, 67.55, 63.34, 63.34
24-12-2017 19:23:12, 105.56, 85.87, 68.14, 63.25, 63.25
24-12-2017 19:24:12, 103.47, 85.52, 67.93, 63.29, 63.29
24-12-2017 19:25:12, 103.31, 84.34, 68.04, 63.23, 63.23
24-12-2017 19:26:12, 101.95, 84.02, 68.02, 63.28, 63.28
24-12-2017 19:27:12, 101.80, 83.79, 67.72, 63.25, 63.25
24-12-2017 19:28:12, 100.75, 83.69, 67.68, 63.34, 63.34
24-12-2017 19:29:12, 99.68, 82.77, 67.56, 63.33, 63.33
24-12-2017 19:30:12, 98.63, 82.89, 67.70, 63.37, 63.37
24-12-2017 19:31:12, 97.71, 81.29, 67.73, 63.42, 63.42
24-12-2017 19:32:12, 98.02, 81.08, 67.85, 63.36, 63.36
24-12-2017 19:33:13, 96.13, 81.57, 67.35, 63.30, 63.30
24-12-2017 19:34:13, 95.62, 79.95, 67.28, 63.27, 63.27
24-12-2017 19:35:13, 96.04, 82.14, 67.65, 63.32, 63.32
24-12-2017 19:36:13, 96.24, 86.02, 67.99, 63.26, 63.26
24-12-2017 19:37:13, 94.68, 84.87, 68.12, 63.23, 63.23
24-12-2017 19:38:13, 93.25, 85.97, 67.91, 63.27, 63.27
24-12-2017 19:39:13, 83.39, 83.61, 67.93, 63.31, 63.31
24-12-2017 19:40:13, 99.98, 84.40, 67.30, 63.27, 63.27
24-12-2017 19:41:13, 113.27, 84.18, 67.63, 63.34, 63.34
24-12-2017 19:42:13, 113.97, 84.22, 68.11, 63.26, 63.26
24-12-2017 19:43:14, 113.56, 84.72, 71.04, 63.37, 63.37
24-12-2017 19:44:14, 113.13, 85.73, 72.31, 63.46, 63.46
24-12-2017 19:45:14, 113.27, 85.66, 72.40, 63.43, 63.43
24-12-2017 19:46:14, 112.08, 86.22, 73.48, 63.49, 63.49
24-12-2017 19:47:14, 111.34, 85.84, 73.58, 63.56, 63.56
24-12-2017 19:48:14, 110.15, 85.20, 73.85, 63.66, 63.66
24-12-2017 19:49:14, 107.25, 84.56, 73.15, 63.90, 63.90
24-12-2017 19:50:14, 107.00, 86.34, 72.60, 63.74, 63.74
24-12-2017 19:51:14, 107.37, 86.19, 72.00, 63.61, 63.61
24-12-2017 19:52:14, 106.20, 85.98, 72.42, 63.52, 63.52
24-12-2017 19:53:14, 104.69, 87.86, 72.41, 63.61, 63.61
24-12-2017 19:54:15, 104.59, 88.59, 73.88, 63.67, 63.67
24-12-2017 19:55:15, 101.91, 89.15, 74.89, 64.06, 64.06
24-12-2017 19:56:15, 101.85, 85.07, 77.16, 63.76, 63.76
24-12-2017 19:57:15, 102.20, 85.52, 76.49, 63.71, 63.71
24-12-2017 19:58:15, 101.82, 85.37, 76.57, 63.74, 63.74
24-12-2017 19:59:15, 100.17, 85.56, 77.32, 63.85, 63.85
24-12-2017 20:00:15, 99.99, 82.41, 77.35, 63.79, 63.79
24-12-2017 20:01:15, 98.91, 81.63, 76.55, 63.90, 63.90
24-12-2017 20:02:15, 96.12, 84.82, 76.46, 63.78, 63.78
24-12-2017 20:03:15, 86.20, 84.79, 76.20, 63.77, 63.77
24-12-2017 20:04:16, 95.85, 85.68, 75.92, 63.76, 63.76
24-12-2017 20:05:16, 105.87, 86.22, 76.24, 63.74, 63.74
24-12-2017 20:06:16, 105.16, 85.30, 77.42, 63.82, 63.82
24-12-2017 20:07:16, 104.15, 84.34, 76.76, 63.74, 63.74
24-12-2017 20:08:16, 103.85, 84.22, 78.58, 63.85, 63.85
24-12-2017 20:09:16, 103.26, 84.56, 78.14, 63.96, 63.96
24-12-2017 20:10:16, 102.97, 84.05, 79.50, 63.86, 63.86
24-12-2017 20:11:16, 100.74, 84.29, 78.94, 63.94, 63.94
24-12-2017 20:12:16, 100.74, 83.01, 79.13, 63.95, 63.95
24-12-2017 20:13:16, 100.41, 81.76, 79.28, 64.00, 64.00
24-12-2017 20:14:16, 99.47, 87.16, 78.05, 63.97, 63.97
24-12-2017 20:15:17, 97.71, 90.77, 76.77, 63.93, 63.93
24-12-2017 20:16:17, 95.91, 91.61, 76.76, 63.92, 63.92
24-12-2017 20:17:17, 111.44, 91.57, 75.85, 63.85, 63.85
24-12-2017 20:18:17, 114.20, 90.71, 75.79, 63.97, 63.97
24-12-2017 20:19:17, 117.46, 87.04, 77.19, 63.23, 63.23
24-12-2017 20:20:17, 112.15, 90.45, 76.99, 63.87, 63.87
24-12-2017 20:21:17, 110.56, 88.95, 76.34, 63.88, 63.88
24-12-2017 20:22:17, 110.01, 87.59, 75.57, 63.83, 63.83
24-12-2017 20:23:17, 108.34, 88.21, 75.69, 63.87, 63.87
