08-01-2018 16:26:29, 102.06, 78.19, 64.53, 62.11
08-01-2018 16:27:29, 96.84, 79.44, 64.04, 58.31
08-01-2018 16:28:29, 90.36, 79.18, 64.00, 54.41
08-01-2018 16:29:29, 108.07, 77.29, 64.25, 56.67
08-01-2018 16:30:29, 111.62, 77.76, 64.05, 58.59
08-01-2018 16:31:30, 110.27, 77.13, 63.98, 58.83
08-01-2018 16:32:30, 109.18, 78.01, 63.91, 57.33
08-01-2018 16:33:30, 108.32, 78.02, 63.99, 55.21
08-01-2018 16:34:30, 107.19, 77.21, 64.07, 59.34
08-01-2018 16:35:30, 106.28, 77.22, 64.12, 60.23
08-01-2018 16:36:30, 105.37, 77.60, 64.26, 56.90
08-01-2018 16:37:30, 104.53, 77.34, 64.10, 59.03
08-01-2018 16:38:30, 103.89, 77.00, 64.09, 58.45
08-01-2018 16:39:30, 102.21, 76.79, 64.06, 58.35
08-01-2018 16:40:30, 101.59, 77.11, 64.14, 61.33
08-01-2018 16:41:30, 101.14, 76.50, 64.19, 62.62
08-01-2018 16:42:31, 100.68, 75.36, 64.45, 61.54
08-01-2018 16:43:31, 94.75, 73.48, 64.20, 56.09
08-01-2018 16:44:31, 93.55, 73.19, 63.94, 58.14
08-01-2018 16:45:31, 108.59, 72.97, 63.93, 58.81
08-01-2018 16:46:31, 109.46, 74.29, 63.97, 60.86
08-01-2018 16:47:31, 109.72, 74.52, 64.28, 62.33
08-01-2018 16:48:31, 107.74, 74.10, 64.24, 61.46
08-01-2018 16:49:31, 107.05, 74.21, 64.34, 61.39
08-01-2018 16:50:31, 106.36, 73.80, 64.19, 63.39
08-01-2018 16:51:31, 105.94, 73.40, 64.22, 61.59
08-01-2018 16:52:31, 105.75, 78.79, 65.98, 63.61
08-01-2018 16:53:32, 105.72, 78.45, 69.17, 63.09
08-01-2018 16:54:32, 105.52, 76.90, 71.08, 58.78
08-01-2018 16:55:32, 104.92, 75.46, 72.79, 54.66
08-01-2018 16:56:32, 102.80, 76.98, 73.54, 59.16
08-01-2018 16:57:32, 102.33, 77.70, 74.24, 59.14
08-01-2018 16:58:32, 102.05, 75.78, 74.35, 60.36
08-01-2018 16:59:32, 101.11, 76.07, 74.44, 61.73
08-01-2018 17:00:32, 99.47, 76.93, 74.95, 60.55
08-01-2018 17:01:32, 98.53, 76.46, 75.11, 65.15
08-01-2018 17:02:32, 99.06, 75.01, 74.79, 58.96
08-01-2018 17:03:32, 97.68, 75.31, 74.73, 59.34
08-01-2018 17:04:32, 96.57, 75.35, 74.61, 59.14
08-01-2018 17:05:33, 95.54, 75.23, 74.75, 56.33
08-01-2018 17:06:33, 94.71, 75.08, 74.78, 62.14
08-01-2018 17:07:33, 93.86, 75.27, 75.04, 63.44
08-01-2018 17:08:33, 93.61, 75.45, 73.97, 63.17
08-01-2018 17:09:33, 93.28, 75.66, 74.11, 58.25
08-01-2018 17:10:33, 92.45, 74.98, 74.14, 57.04
08-01-2018 17:11:33, 91.41, 74.78, 73.69, 62.17
08-01-2018 17:12:33, 91.35, 75.00, 73.30, 62.70
08-01-2018 17:13:33, 91.35, 75.86, 73.00, 53.35
08-01-2018 17:14:33, 87.58, 75.19, 73.09, 51.28
08-01-2018 17:15:33, 96.84, 74.44, 72.42, 52.21
08-01-2018 17:16:34, 111.07, 74.18, 71.82, 59.45
08-01-2018 17:17:34, 111.30, 74.72, 71.81, 57.19
08-01-2018 17:18:34, 110.13, 74.40, 72.04, 57.11
08-01-2018 17:19:34, 110.04, 72.26, 71.56, 59.13
08-01-2018 17:20:34, 109.50, 77.55, 71.36, 57.50
08-01-2018 17:21:34, 109.26, 78.93, 71.03, 61.55
08-01-2018 17:22:34, 107.39, 80.23, 70.77, 62.15
08-01-2018 17:23:34, 106.27, 79.62, 70.63, 62.81
08-01-2018 17:24:34, 104.84, 79.75, 70.88, 60.92
08-01-2018 17:25:34, 103.86, 79.05, 70.55, 55.92
08-01-2018 17:26:34, 103.50, 78.75, 70.73, 58.41
08-01-2018 17:27:35, 102.20, 78.97, 70.58, 64.40
08-01-2018 17:28:35, 101.38, 78.42, 70.85, 62.28
08-01-2018 17:29:35, 100.96, 78.01, 70.78, 60.84
08-01-2018 17:30:35, 100.29, 78.13, 69.92, 62.91
08-01-2018 17:31:35, 99.00, 77.53, 69.98, 58.51
08-01-2018 17:32:35, 97.76, 77.25, 70.24, 54.24
08-01-2018 17:33:35, 97.02, 76.03, 70.07, 56.12
08-01-2018 17:34:35, 97.14, 76.63, 70.03, 60.43
08-01-2018 17:35:35, 95.98, 76.23, 69.79, 57.55
08-01-2018 17:36:35, 94.83, 76.06, 69.85, 54.33
08-01-2018 17:37:35, 95.13, 76.58, 69.91, 57.62
08-01-2018 17:38:35, 94.19, 77.29, 70.23, 62.66
08-01-2018 17:39:36, 93.43, 76.16, 70.63, 62.50
08-01-2018 17:40:36, 92.76, 76.49, 70.25, 56.38
08-01-2018 17:41:36, 91.76, 76.16, 69.89, 52.43
08-01-2018 17:42:36, 83.92, 75.61, 69.65, 53.00
08-01-2018 17:43:36, 100.42, 72.93, 69.12, 58.05
08-01-2018 17:44:36, 107.77, 75.44, 69.08, 62.92
08-01-2018 17:45:36, 110.88, 73.66, 70.50, 58.42
