20172017-12-20 2:1:17, 63.20
2017-12-20 2:1:18, 63.11
2017-12-20 2:1:20, 63.17
2017-12-20 2:1:21, 63.20
2017-12-20 2:1:22, 63.14
2017-12-20 2:1:23, 63.08
2017-12-20 2:1:24, 63.17
2017-12-20 2:1:25, 63.20
2017-12-20 2:1:26, 63.20
2017-12-20 2:1:27, 63.08
2017-12-20 2:1:28, 63.11
2017-12-20 2:1:29, 63.05
2017-12-20 2:1:30, 63.17
2017-12-20 2:1:31, 63.20
2017-12-20 2:1:32, 63.20
2017-12-20 2:1:33, 63.17
2017-12-20 2:1:34, 63.20
2017-12-20 2:1:36, 63.11
2017-12-20 2:1:37, 63.11
2017-12-20 2:1:38, 63.08
2017-12-20 2:1:39, 63.08
2017-12-20 2:1:40, 63.20
2017-12-20 2:1:41, 63.20
2017-12-20 2:1:42, 63.20
2017-12-20 2:1:43, 63.14
2017-12-20 2:1:44, 63.08
2017-12-20 2:1:45, 63.05
2017-12-20 2:1:46, 63.08
2017-12-20 2:1:47, 63.08
2017-12-20 2:1:48, 63.08
2017-12-20 2:1:49, 63.11
2017-12-20 2:1:50, 63.17
2017-12-20 2:1:51, 63.20
2017-12-20 2:1:52, 63.20
2017-12-20 2:1:53, 63.20
2017-12-20 2:1:54, 63.14
2017-12-20 2:1:56, 63.11
2017-12-20 2:1:57, 63.08
2017-12-20 2:1:58, 63.14
2017-12-20 2:1:59, 63.05
2017-12-20 2:2:0, 63.14
2017-12-20 2:2:1, 63.08
2017-12-20 2:2:2, 63.05
2017-12-20 2:2:3, 63.05
2017-12-20 2:2:4, 63.05
2017-12-20 2:2:5, 63.11
2017-12-20 2:2:6, 63.14
2017-12-20 2:2:7, 63.20
2017-12-20 2:2:8, 63.17
2017-12-20 2:2:9, 63.20
2017-12-20 2:2:10, 63.20
2017-12-20 2:2:11, 63.20
2017-12-20 2:2:12, 63.11
2017-12-20 2:2:13, 63.11
2017-12-20 2:2:15, 63.17
2017-12-20 2:2:16, 63.20
2017-12-20 2:2:17, 63.14
2017-12-20 2:2:18, 63.14
2017-12-20 2:2:19, 63.05
2017-12-20 2:2:20, 63.11
2017-12-20 2:2:21, 63.20
2017-12-20 2:2:22, 63.20
2017-12-20 2:2:23, 63.17
2017-12-20 2:2:24, 63.14
2017-12-20 2:2:25, 63.05
2017-12-20 2:2:26, 63.08
2017-12-20 2:2:27, 63.08
2017-12-20 2:2:28, 63.08
2017-12-20 2:2:29, 63.14
2017-12-20 2:2:30, 63.20
2017-12-20 2:2:31, 63.17
2017-12-20 2:2:32, 63.08
2017-12-20 2:2:33, 63.08
2017-12-20 2:2:35, 63.14
2017-12-20 2:2:36, 63.20
2017-12-20 2:2:37, 63.17
2017-12-20 2:2:38, 63.05
2017-12-20 2:2:39, 63.08
2017-12-20 2:2:40, 63.20
2017-12-20 2:2:41, 63.20
2017-12-20 2:2:42, 63.08
2017-12-20 2:2:43, 63.05
2017-12-20 2:2:44, 63.14
2017-12-20 2:2:45, 63.17
2017-12-20 2:2:46, 63.05
2017-12-20 2:2:47, 63.11
2017-12-20 2:2:48, 63.17
2017-12-20 2:2:49, 63.17
2017-12-20 2:2:50, 63.05
2017-12-20 2:2:51, 63.11
2017-12-20 2:2:52, 63.20
2017-12-20 2:2:54, 63.08
2017-12-20 2:2:55, 63.05
2017-12-20 2:2:56, 63.11
2017-12-20 2:2:57, 63.17
2017-12-20 2:2:58, 63.20
2017-12-20 2:2:59, 63.14
2017-12-20 2:3:0, 63.05
2017-12-20 2:3:1, 63.08
2017-12-20 2:3:2, 63.08
2017-12-20 2:3:3, 63.08
2017-12-20 2:3:4, 63.11
2017-12-20 2:3:5, 63.17
2017-12-20 2:3:6, 63.20
2017-12-20 2:3:7, 63.20
2017-12-20 2:3:8, 63.20
2017-12-20 2:3:9, 63.20
2017-12-20 2:3:10, 63.17
2017-12-20 2:3:11, 63.05
2017-12-20 2:3:12, 63.08
2017-12-20 2:3:14, 63.17
2017-12-20 2:3:15, 63.17
2017-12-20 2:3:16, 63.11
2017-12-20 2:3:17, 63.05
2017-12-20 2:3:18, 63.11
2017-12-20 2:3:19, 63.17
2017-12-20 2:3:20, 63.20
2017-12-20 2:3:21, 63.11
2017-12-20 2:3:22, 63.05
2017-12-20 2:3:23, 63.14
2017-12-20 2:3:24, 63.20
2017-12-20 2:3:25, 63.14
2017-12-20 2:3:26, 63.05
2017-12-20 2:3:27, 63.08
2017-12-20 2:3:28, 63.08
2017-12-20 2:3:29, 63.17
2017-12-20 2:3:30, 63.17
2017-12-20 2:3:31, 63.05
2017-12-20 2:3:33, 63.05
2017-12-20 2:3:34, 63.08
2017-12-20 2:3:35, 63.11
2017-12-20 2:3:36, 63.08
2017-12-20 2:3:37, 63.05
2017-12-20 2:3:38, 63.08
2017-12-20 2:3:39, 63.14
2017-12-20 2:3:40, 63.05
2017-12-20 2:3:41, 63.05
2017-12-20 2:3:42, 63.11
2017-12-20 2:3:43, 63.11
2017-12-20 2:3:44, 63.05
2017-12-20 2:3:45, 63.17
2017-12-20 2:3:46, 63.11
2017-12-20 2:3:47, 63.05
2017-12-20 2:3:48, 63.14
2017-12-20 2:3:49, 63.14
2017-12-20 2:3:50, 63.05
2017-12-20 2:3:51, 63.05
2017-12-20 2:3:53, 63.05
2017-12-20 2:3:54, 63.14
2017-12-20 2:3:55, 63.05
2017-12-20 2:3:56, 63.05
2017-12-20 2:3:57, 63.08
2017-12-20 2:3:58, 63.08
2017-12-20 2:3:59, 63.05
2017-12-20 2:4:0, 63.05
2017-12-20 2:4:1, 63.05
2017-12-20 2:4:2, 63.05
2017-12-20 2:4:3, 63.08
2017-12-20 2:4:4, 63.05
2017-12-20 2:4:5, 63.05
2017-12-20 2:4:6, 63.05
2017-12-20 2:4:7, 63.05
2017-12-20 2:4:8, 63.05
2017-12-20 2:4:9, 63.05
2017-12-20 2:4:10, 63.05
2017-12-20 2:4:12, 63.08
2017-12-20 2:4:13, 63.05
2017-12-20 2:4:14, 63.05
2017-12-20 2:4:15, 63.11
2017-12-20 2:4:16, 63.05
2017-12-20 2:4:17, 63.05
2017-12-20 2:4:18, 63.11
2017-12-20 2:4:19, 63.08
2017-12-20 2:4:20, 63.05
2017-12-20 2:4:21, 63.05
2017-12-20 2:4:22, 63.20
2017-12-20 2:4:23, 63.08
2017-12-20 2:4:24, 63.05
2017-12-20 2:4:25, 63.05
2017-12-20 2:4:26, 63.14
2017-12-20 2:4:27, 63.05
2017-12-20 2:4:28, 63.05
2017-12-20 2:4:29, 63.14
2017-12-20 2:4:30, 63.05
2017-12-20 2:4:32, 63.08
2017-12-20 2:4:33, 63.14
2017-12-20 2:4:34, 63.05
2017-12-20 2:4:35, 63.05
2017-12-20 2:4:36, 63.05
2017-12-20 2:4:37, 63.05
2017-12-20 2:4:38, 63.05
2017-12-20 2:4:39, 63.11
2017-12-20 2:4:40, 63.08
2017-12-20 2:4:41, 63.05
2017-12-20 2:4:42, 63.08
2017-12-20 2:4:43, 63.08
2017-12-20 2:4:44, 63.05
2017-12-20 2:4:45, 63.20
2017-12-20 2:4:46, 63.05
2017-12-20 2:4:47, 63.11
2017-12-20 2:4:48, 63.11
2017-12-20 2:4:49, 63.05
2017-12-20 2:4:51, 63.11
2017-12-20 2:4:52, 63.11
2017-12-20 2:4:53, 63.05
2017-12-20 2:4:54, 63.14
2017-12-20 2:4:55, 63.05
2017-12-20 2:4:56, 63.05
2017-12-20 2:4:57, 63.14
2017-12-20 2:4:58, 63.05
2017-12-20 2:4:59, 63.05
2017-12-20 2:5:0, 63.14
2017-12-20 2:5:1, 63.11
2017-12-20 2:5:2, 63.05
2017-12-20 2:5:3, 63.05
2017-12-20 2:5:4, 63.05
2017-12-20 2:5:5, 63.11
2017-12-20 2:5:6, 63.05
2017-12-20 2:5:7, 63.05
2017-12-20 2:5:8, 63.05
2017-12-20 2:5:9, 63.08
2017-12-20 2:5:11, 63.14
2017-12-20 2:5:12, 63.05
2017-12-20 2:5:13, 63.05
2017-12-20 2:5:14, 63.05
2017-12-20 2:5:15, 63.05
2017-12-20 2:5:16, 63.05
2017-12-20 2:5:17, 63.08
2017-12-20 2:5:18, 63.05
2017-12-20 2:5:19, 63.05
2017-12-20 2:5:20, 63.05
2017-12-20 2:5:21, 63.05
